recency_days,frequency,avg_order_value,cart_abandon_rate,promotion_type,source
109.0,10,1171.0,0.3745401188473625,NoPromotion,real
111.0,3,5634.0,0.9507143064099162,NoPromotion,real
365.0,0,0.0,0.7319939418114051,Discount,real
365.0,0,0.0,0.5986584841970366,Discount,real
365.0,0,0.0,0.15601864044243652,Discount,real
365.0,0,0.0,0.15599452033620265,Discount,real
330.0,10,2178.82,0.6,NoPromotion,synthetic
151.0,2,149.4,0.97,FreeShipping,synthetic
293.0,1,536.38,0.18,Discount,synthetic
313.0,5,116.96,0.02,FreeShipping,synthetic
58.0,14,434.79,0.29,FreeShipping,synthetic
270.0,13,317.46,0.62,FreeShipping,synthetic
363.0,6,2459.75,0.47,NoPromotion,synthetic
306.0,6,509.26,0.07,NoPromotion,synthetic
315.0,13,2040.15,0.3,NoPromotion,synthetic
52.0,1,1742.16,0.44,Discount,synthetic
263.0,14,516.08,0.39,Discount,synthetic
1.0,13,1348.16,0.55,NoPromotion,synthetic
309.0,12,2427.0,0.78,NoPromotion,synthetic
161.0,9,2247.59,0.6,NoPromotion,synthetic
303.0,14,312.38,0.2,FreeShipping,synthetic
189.0,7,2126.88,0.75,NoPromotion,synthetic
52.0,7,956.21,0.28,NoPromotion,synthetic
40.0,12,2025.27,0.07,NoPromotion,synthetic
326.0,8,1953.39,0.2,NoPromotion,synthetic
62.0,10,577.22,0.71,NoPromotion,synthetic
260.0,9,960.32,0.12,NoPromotion,synthetic
134.0,8,1595.92,0.33,NoPromotion,synthetic
47.0,6,846.36,0.33,NoPromotion,synthetic
98.0,11,1630.14,0.89,NoPromotion,synthetic
226.0,4,2432.11,0.85,NoPromotion,synthetic
4.0,9,666.36,0.26,Discount,synthetic
206.0,14,366.14,0.44,FreeShipping,synthetic
178.0,14,2249.83,0.48,NoPromotion,synthetic
95.0,3,2278.16,0.25,NoPromotion,synthetic
236.0,14,1913.32,0.23,NoPromotion,synthetic
159.0,6,795.4,0.16,NoPromotion,synthetic
44.0,13,1620.17,0.87,NoPromotion,synthetic
27.0,11,547.77,0.89,FreeShipping,synthetic
347.0,8,863.21,0.11,NoPromotion,synthetic
282.0,13,101.25,0.35,FreeShipping,synthetic
258.0,6,495.17,0.53,FreeShipping,synthetic
317.0,4,1761.85,0.27,NoPromotion,synthetic
151.0,14,503.9,0.22,FreeShipping,synthetic
179.0,0,255.74,0.25,Discount,synthetic
267.0,13,1771.13,0.71,NoPromotion,synthetic
100.0,0,2494.58,0.27,Discount,synthetic
1.0,1,1086.49,0.03,FreeShipping,synthetic
125.0,1,1374.24,0.45,Discount,synthetic
197.0,6,1713.13,0.76,NoPromotion,synthetic
122.0,0,1847.72,0.37,Discount,synthetic
97.0,5,1057.18,0.82,NoPromotion,synthetic
143.0,0,461.72,0.51,Discount,synthetic
348.0,2,1518.14,0.68,Discount,synthetic
146.0,3,1648.41,0.17,NoPromotion,synthetic
127.0,6,2348.15,0.14,NoPromotion,synthetic
150.0,14,2205.61,0.26,NoPromotion,synthetic
251.0,9,2457.2,0.52,NoPromotion,synthetic
1.0,0,323.45,0.9,FreeShipping,synthetic
36.0,10,552.9,0.28,NoPromotion,synthetic
207.0,2,2155.18,0.4,NoPromotion,synthetic
115.0,10,2345.52,0.79,NoPromotion,synthetic
103.0,3,1493.65,0.37,NoPromotion,synthetic
98.0,8,112.15,0.16,FreeShipping,synthetic
337.0,1,1760.55,0.65,Discount,synthetic
168.0,3,1809.23,0.24,NoPromotion,synthetic
276.0,3,979.53,0.74,NoPromotion,synthetic
194.0,0,839.35,0.54,Discount,synthetic
21.0,13,1515.69,0.98,NoPromotion,synthetic
50.0,5,2274.64,0.43,NoPromotion,synthetic
276.0,13,1648.25,0.67,NoPromotion,synthetic
316.0,2,1472.81,0.77,Discount,synthetic
171.0,11,1227.87,0.28,NoPromotion,synthetic
5.0,2,1894.53,0.95,FreeShipping,synthetic
301.0,4,1473.5,0.98,NoPromotion,synthetic
115.0,14,833.67,0.19,NoPromotion,synthetic
160.0,2,506.78,0.56,NoPromotion,synthetic
57.0,2,1468.15,0.1,NoPromotion,synthetic
341.0,6,436.2,0.52,FreeShipping,synthetic
272.0,7,1772.84,0.7,NoPromotion,synthetic
175.0,6,804.62,0.81,NoPromotion,synthetic
354.0,1,2180.97,0.91,Discount,synthetic
312.0,3,2015.91,0.65,NoPromotion,synthetic
141.0,11,2227.88,0.03,NoPromotion,synthetic
353.0,1,1152.34,0.67,Discount,synthetic
50.0,8,472.1,0.98,FreeShipping,synthetic
149.0,9,2164.97,0.25,NoPromotion,synthetic
169.0,5,827.84,0.54,NoPromotion,synthetic
100.0,0,2086.89,0.27,Discount,synthetic
107.0,4,1197.44,0.84,NoPromotion,synthetic
349.0,14,1778.83,0.14,NoPromotion,synthetic
143.0,12,2426.89,0.71,NoPromotion,synthetic
146.0,0,1057.17,0.43,Discount,synthetic
57.0,6,702.07,0.18,Discount,synthetic
126.0,8,1752.4,0.06,NoPromotion,synthetic
121.0,0,1161.65,0.24,Discount,synthetic
117.0,8,1684.47,0.28,NoPromotion,synthetic
271.0,12,1870.95,0.55,NoPromotion,synthetic
277.0,12,1107.04,0.25,NoPromotion,synthetic
143.0,2,1918.83,0.01,Discount,synthetic
68.0,14,197.75,0.86,FreeShipping,synthetic
203.0,9,1932.07,0.81,NoPromotion,synthetic
99.0,0,1215.22,0.65,Discount,synthetic
249.0,9,2377.95,0.89,NoPromotion,synthetic
179.0,14,136.73,0.93,FreeShipping,synthetic
95.0,0,1394.51,0.68,Discount,synthetic
15.0,7,2365.34,0.94,NoPromotion,synthetic
159.0,10,2022.28,0.68,NoPromotion,synthetic
162.0,11,408.4,0.81,FreeShipping,synthetic
100.0,11,1026.65,0.96,NoPromotion,synthetic
329.0,10,569.9,0.07,Discount,synthetic
252.0,2,1583.81,0.34,NoPromotion,synthetic
92.0,9,1735.87,0.34,NoPromotion,synthetic
114.0,8,1290.49,0.69,NoPromotion,synthetic
113.0,12,2347.96,0.04,NoPromotion,synthetic
216.0,4,2422.19,0.55,NoPromotion,synthetic
356.0,8,1464.45,0.58,NoPromotion,synthetic
98.0,3,992.84,0.78,NoPromotion,synthetic
151.0,6,2333.82,0.86,NoPromotion,synthetic
182.0,12,1875.78,0.24,NoPromotion,synthetic
285.0,0,1382.39,0.5,Discount,synthetic
216.0,5,814.32,0.1,NoPromotion,synthetic
99.0,11,2400.5,0.85,NoPromotion,synthetic
264.0,6,2396.32,0.68,NoPromotion,synthetic
51.0,2,1283.26,0.08,Discount,synthetic
24.0,3,1714.04,0.75,NoPromotion,synthetic
150.0,8,372.32,0.93,FreeShipping,synthetic
