variant_id,stock,units_sold_30d,cart_adds,current_price,delta_pct
9a94ca9a-e1b5-4a78-b80f-24013e809653,10,6,3,999.0,2.7
76df71a7-31dd-4bcd-80fc-3920353becec,29,10,7,939.0,0.59
a366c85c-dd64-4e07-ae7c-8cdbe02b0f61,42,6,9,1299.0,-2.06
353d92e1-220c-4b18-a436-a43b6c305ab2,19,10,10,1099.0,2.2
synthetic-0,35,7,2,237.05,2.82
synthetic-1,43,5,1,527.28,-1.9
synthetic-2,11,21,11,241.51,0.15
synthetic-3,41,15,14,1020.93,1.71
synthetic-4,50,11,19,1266.35,-2.72
synthetic-5,50,6,8,317.09,2.69
synthetic-6,59,13,17,893.75,-2.9
synthetic-7,1,19,14,1429.87,12.27
synthetic-8,7,14,2,1836.78,-1.45
synthetic-9,39,3,1,965.28,-17.5
synthetic-10,3,21,17,1595.24,14.58
synthetic-11,35,13,15,787.77,0.42
synthetic-12,59,24,7,1720.16,1.48
synthetic-13,46,20,12,453.66,1.81
synthetic-14,0,24,6,962.12,10.76
synthetic-15,7,23,10,557.92,1.27
synthetic-16,34,0,4,1867.34,-12.19
synthetic-17,27,6,8,1321.94,-1.01
synthetic-18,47,22,4,1513.29,0.83
synthetic-19,26,2,0,889.27,2.83
synthetic-20,2,0,4,1210.3,1.63
synthetic-21,38,8,14,969.57,-2.85
synthetic-22,12,18,6,1055.67,0.38
synthetic-23,3,4,6,938.69,1.53
synthetic-24,35,12,6,721.55,-2.03
synthetic-25,1,9,12,732.14,8.74
synthetic-26,27,11,11,949.72,2.3
synthetic-27,57,22,6,1832.29,-1.37
synthetic-28,26,24,19,834.62,-1.17
synthetic-29,5,7,8,1072.69,1.15
synthetic-30,41,11,14,502.92,-1.69
synthetic-31,23,8,19,854.53,2.83
synthetic-32,51,11,6,1095.05,-1.19
synthetic-33,48,23,16,680.21,2.86
synthetic-34,27,21,4,821.13,0.81
synthetic-35,1,20,11,1006.01,11.87
synthetic-36,54,3,10,865.38,-1.55
synthetic-37,37,23,4,1338.15,0.8
synthetic-38,10,15,15,1703.54,-1.08
synthetic-39,5,15,2,1263.61,1.07
synthetic-40,18,2,18,827.6,-2.42
synthetic-41,40,0,7,896.12,-8.76
synthetic-42,0,10,17,1864.45,14.14
synthetic-43,34,6,15,1671.0,0.33
synthetic-44,59,16,1,1993.26,2.79
synthetic-45,4,4,8,701.97,1.2
synthetic-46,15,2,19,1796.76,1.68
synthetic-47,23,19,10,1884.14,1.71
synthetic-48,39,19,2,870.11,2.64
synthetic-49,24,17,13,1187.72,1.15
synthetic-50,15,8,3,1481.92,-1.58
synthetic-51,20,15,19,859.64,1.47
synthetic-52,2,16,0,1176.57,11.56
synthetic-53,21,22,13,1261.77,2.87
synthetic-54,50,21,7,1336.05,1.77
synthetic-55,29,0,14,1086.53,-1.83
synthetic-56,47,18,3,243.77,0.87
synthetic-57,16,11,13,1846.76,-0.78
synthetic-58,40,4,16,1194.98,0.43
synthetic-59,59,0,19,730.01,-0.69
synthetic-60,22,0,2,505.09,0.34
synthetic-61,30,21,2,1226.11,-2.42
synthetic-62,31,14,1,657.49,-1.23
synthetic-63,25,16,7,1454.63,1.21
synthetic-64,47,6,9,1656.85,1.86
synthetic-65,24,23,12,346.87,-2.97
synthetic-66,35,12,19,1369.94,1.21
synthetic-67,15,13,11,1795.91,-2.83
synthetic-68,33,1,18,1038.08,0.26
synthetic-69,21,21,16,267.23,1.94
synthetic-70,53,10,4,1140.04,1.62
synthetic-71,43,11,4,1023.08,2.05
synthetic-72,31,19,14,1459.12,-2.17
synthetic-73,15,12,17,1129.34,-1.06
synthetic-74,16,23,18,990.15,-2.53
synthetic-75,36,20,8,1439.3,-2.65
synthetic-76,57,0,14,650.44,0.3
synthetic-77,47,24,7,1882.31,0.83
synthetic-78,38,4,2,645.92,-0.86
synthetic-79,36,21,13,365.24,-2.44
synthetic-80,29,13,19,515.59,-2.9
synthetic-81,25,15,6,823.35,-0.21
synthetic-82,36,22,9,1908.46,2.32
synthetic-83,51,9,18,1105.65,2.14
synthetic-84,4,12,3,1308.53,14.61
synthetic-85,1,16,19,1235.85,10.72
synthetic-86,59,0,0,1660.17,-10.15
synthetic-87,11,2,0,1930.14,2.43
synthetic-88,43,12,11,381.4,-2.89
synthetic-89,50,17,2,805.8,0.93
synthetic-90,28,9,1,669.25,-0.02
synthetic-91,57,20,17,1332.1,2.26
synthetic-92,35,24,3,519.39,1.5
synthetic-93,34,16,2,942.71,-0.77
synthetic-94,38,23,4,629.47,1.08
synthetic-95,22,24,2,385.62,2.42
synthetic-96,19,15,12,1811.94,-0.66
synthetic-97,11,8,18,364.32,-1.08
synthetic-98,13,19,18,1087.45,-2.5
synthetic-99,4,2,11,791.6,1.04
synthetic-100,35,20,15,1621.31,-2.45
synthetic-101,41,6,13,1189.15,-0.35
synthetic-102,22,10,10,410.72,-2.14
synthetic-103,9,11,16,382.02,-2.5
synthetic-104,12,7,9,913.97,2.35
synthetic-105,1,4,4,619.81,0.49
synthetic-106,44,0,19,626.03,2.45
synthetic-107,44,3,3,877.27,-19.0
synthetic-108,43,21,6,963.6,2.44
synthetic-109,38,2,12,220.44,-0.19
synthetic-110,57,19,7,411.55,0.9
synthetic-111,0,2,12,627.51,-0.6
synthetic-112,59,16,0,602.47,2.78
synthetic-113,43,12,12,277.69,2.35
synthetic-114,53,20,10,1854.41,-1.48
synthetic-115,18,19,17,499.19,-1.7
synthetic-116,14,0,2,1822.08,-2.73
synthetic-117,11,9,15,1802.47,-0.27
synthetic-118,27,20,7,505.42,0.88
synthetic-119,7,17,4,1953.91,2.92
synthetic-120,53,16,8,757.15,1.88
synthetic-121,27,15,12,1839.67,1.94
synthetic-122,17,18,4,1304.15,-0.49
synthetic-123,55,17,12,496.7,-0.53
synthetic-124,53,0,17,1977.1,-2.1
synthetic-125,20,24,16,1708.99,-0.19
synthetic-126,34,0,15,335.65,1.15
synthetic-127,4,4,5,1843.7,0.51
synthetic-128,52,4,9,1729.37,-1.52
synthetic-129,13,8,13,652.6,-1.35
synthetic-130,3,0,16,1562.6,-2.72
synthetic-131,30,7,6,1408.83,0.12
synthetic-132,53,2,17,1733.93,0.31
synthetic-133,4,24,16,441.23,8.2
synthetic-134,14,4,13,1467.34,-1.72
synthetic-135,37,1,5,1294.56,-12.36
synthetic-136,14,18,1,826.86,0.08
synthetic-137,23,14,9,1752.25,2.7
synthetic-138,3,9,16,1085.81,9.81
synthetic-139,23,4,1,1317.45,-0.92
synthetic-140,42,10,15,814.81,0.22
synthetic-141,22,22,15,473.42,-2.17
synthetic-142,7,3,7,1453.7,-0.53
synthetic-143,31,2,17,1283.48,-1.66
synthetic-144,20,4,17,701.46,-1.94
synthetic-145,20,5,0,1161.96,-0.86
synthetic-146,45,1,16,1106.15,1.14
synthetic-147,8,24,14,1330.22,-2.51
synthetic-148,29,10,15,309.94,-1.34
synthetic-149,0,7,16,1275.1,14.9
synthetic-150,46,23,13,1312.86,-0.79
synthetic-151,23,1,12,312.21,-2.11
synthetic-152,50,6,2,1811.37,0.07
synthetic-153,46,12,17,1005.34,0.2
synthetic-154,14,24,4,528.11,0.38
synthetic-155,16,6,11,619.79,-0.94
synthetic-156,24,3,9,1620.51,-0.01
synthetic-157,46,3,14,1526.28,0.35
synthetic-158,39,16,11,429.64,-1.3
synthetic-159,5,19,1,639.84,-0.01
synthetic-160,5,4,0,213.56,-1.65
synthetic-161,5,22,15,489.23,-1.88
synthetic-162,29,23,8,344.42,0.15
synthetic-163,39,4,3,1995.06,2.38
synthetic-164,19,10,3,209.54,2.85
synthetic-165,29,23,5,1403.56,2.58
synthetic-166,14,10,7,1057.92,2.03
synthetic-167,4,5,3,965.79,0.05
synthetic-168,48,11,14,1473.01,1.61
synthetic-169,37,4,10,1877.63,-1.08
synthetic-170,2,0,5,805.89,-2.19
synthetic-171,22,9,11,563.11,1.11
synthetic-172,19,0,4,204.88,-2.3
synthetic-173,14,23,5,941.31,-0.91
synthetic-174,48,4,11,935.33,2.6
synthetic-175,10,8,1,526.22,-2.6
synthetic-176,39,21,7,1690.29,1.5
synthetic-177,59,2,4,1666.23,-12.02
synthetic-178,25,3,12,1258.95,1.1
synthetic-179,7,6,7,878.5,-0.22
synthetic-180,37,0,14,1239.48,-0.87
synthetic-181,46,22,1,1178.4,2.44
synthetic-182,50,6,18,976.75,-1.0
synthetic-183,50,7,9,450.69,1.76
synthetic-184,28,0,19,1534.63,0.44
synthetic-185,28,5,0,1472.56,1.67
synthetic-186,32,3,1,1572.43,-9.48
synthetic-187,32,21,5,1165.67,-0.73
synthetic-188,44,23,19,915.12,1.78
synthetic-189,4,14,3,1500.05,13.04
synthetic-190,30,18,18,1217.92,1.3
synthetic-191,26,4,19,526.88,2.45
synthetic-192,37,5,7,962.47,-1.27
synthetic-193,42,11,12,450.41,-2.4
synthetic-194,32,14,7,1769.82,2.59
synthetic-195,35,15,3,1622.15,-2.86
synthetic-196,41,16,8,963.44,1.42
synthetic-197,39,8,10,1011.51,-2.32
synthetic-198,20,13,3,424.39,2.53
synthetic-199,53,22,18,1264.3,-0.61
synthetic-200,8,20,8,570.04,1.73
synthetic-201,25,8,2,916.7,0.22
synthetic-202,10,5,1,1038.26,-0.11
synthetic-203,26,16,10,259.12,2.48
synthetic-204,53,23,6,497.92,-2.8
synthetic-205,32,16,10,1338.08,-2.92
synthetic-206,20,16,6,1955.97,-0.25
synthetic-207,19,21,7,1103.95,0.57
synthetic-208,12,22,18,577.83,2.39
synthetic-209,31,16,12,879.91,2.02
synthetic-210,18,17,0,1595.95,-0.28
synthetic-211,1,21,16,921.37,11.92
synthetic-212,3,0,7,1751.21,2.68
synthetic-213,31,9,9,1815.37,0.16
synthetic-214,32,22,17,1760.59,-0.55
synthetic-215,56,22,2,615.93,1.03
synthetic-216,7,21,14,1225.0,2.32
synthetic-217,27,14,7,378.99,-1.54
synthetic-218,13,23,13,1694.4,-0.62
synthetic-219,36,21,13,727.67,2.38
synthetic-220,6,9,6,1524.63,2.09
synthetic-221,47,18,3,1357.27,1.22
synthetic-222,0,14,4,815.27,9.82
synthetic-223,1,2,11,1695.18,-0.93
synthetic-224,29,8,1,1749.92,-1.68
synthetic-225,57,21,11,452.2,2.21
synthetic-226,55,13,16,1072.6,0.07
synthetic-227,8,7,1,1340.26,-1.45
synthetic-228,53,21,10,959.07,-2.21
synthetic-229,28,12,1,690.15,-2.89
synthetic-230,17,20,9,1237.73,-1.36
synthetic-231,16,4,5,1693.54,-1.76
synthetic-232,41,21,5,1517.93,-1.5
